2K3Nr/8/4r3/r7/3Bk3/r1P3PR/8/6R1 w - - 1 1, True, 3K4/3N2r1/2r5/4R1P1/8/4B3/4k3/8, 45, True, 200, None
N7/P5P1/2B3k1/3p4/2p5/1K4qb/3P4/2R5 w - - 0 1, True, 8/2N5/8/2Qpq1k1/8/K7/2b5/8, 48, False, 200, None
r6K/5b2/5P2/5r2/2N3q1/2r3k1/Q4R2/1B6 w - - 1 1, True, Q3Kq2/8/4b3/5r2/2N5/2r3k1/5R2/1B6, 8, True, 200, None
k7/PPrn4/1Q3p1K/1N6/1b5p/8/6p1/8 b - - 0 1, True, 1k3Q2/1r6/5p1K/1N6/7p/8/6p1/8, 12, True, 200, None
7k/8/1q4N1/8/1p4Qp/3rPKP1/4P3/2n5 b - - 0 1, True, 7k/8/1q4N1/8/1p4Qp/3rPKP1/4P3/2n5, 16, True, 200, None
8/2pp1kq1/2n4p/K7/5NN1/8/7N/1n2Q3 w - - 0 1, True, 8/1Kppkn1Q/8/8/8/8/8/5q2, 14, False, 200, None
6R1/6K1/nkpR4/6QR/pb1b4/1p6/8/8 w - - 1 1, True, 8/5K2/1QR5/1k2b2R/p7/1p6/8/8, 15, True, 200, None
8/pKr2k2/1N6/7R/8/P2q4/1N3B2/4b2N w - - 0 1, True, 8/N7/K4k2/2q5/2N5/P3N3/8/8, 41, False, 200, None
Q7/6p1/5q1R/8/3k4/7p/6pp/1nN2K1N w - - 0 1, True, Q7/6p1/7R/8/3k4/7p/4K1pp/1nN2q1N, 2, True, 200, None
n7/N3KnN1/2p5/3p4/1N6/4k3/3p4/2B3n1 w - - 1 1, True, 8/2n1K3/8/3p4/1N1N4/5n2/8/2k5, 12, False, 200, None
7N/2P5/K4p2/7p/p7/b3R3/6pB/1k4b1 w - - 1 1, True, 7N/8/K4p2/7p/p1QB4/8/6p1/1kR5, 13, True, 200, None
1b6/8/1R2N3/q1B5/1PP4P/2k3K1/5P2/6n1 w - - 1 1, True, 8/8/8/8/1P2Nq2/4RP2/2k3K1/8, 32, False, 200, None
8/1B5n/N1pQ4/1q3n2/3K3N/b4P2/4k3/8 w - - 0 1, True, 8/1B6/N1pN1q2/6n1/4K3/8/4k3/8, 12, True, 200, None
2k5/P7/5P2/K2q4/3P1P2/B1p1b1R1/6P1/8 w - - 1 1, True, Q5R1/1K1k4/1B3P2/3q4/3P1P2/8/2pb2P1/8, 36, True, 200, None
8/1N1k4/6bR/2q3p1/4n3/3Kb3/1R1P4/B7 b - - 0 1, True, 8/1N1k4/6bR/6p1/8/6n1/3P1b2/1q1K4, 11, True, 200, None
3kN3/8/2r5/1p3RPr/8/8/1qn2R2/3KR3 b - - 0 1, True, 3kN3/8/8/1p3RPr/8/4R3/1q3R2/2rK4, 3, True, 200, None
